"games_before_purchase","balance_before_purchase","purchase_type"
43,5320,"iap"
118,15532,"iap"
17,7510,"iap"
82,1500,"iap"
91,2000,"iap"
141,13008,"iap"
131,24590,"iap"
23,9720,"iap"
203,2210,"iap"
46,8880,"iap"
33,4710,"iap"
484,16490,"iap"
154,30830,"iap"
143,3000,"iap"
459,28000,"iap"
41,10000,"iap"
469,16462,"iap"
207,2630,"iap"
12,380,"iap"
24,10120,"iap"
36,91,"iap"
216,3510,"iap"
412,33195,"iap"
66,15750,"iap"
845,39870,"iap"
114,27710,"iap"
22,10520,"iap"
206,4640,"iap"
98,9138,"iap"
152,113,"iap"
29,9335,"iap"
18,195,"iap"
10,141,"iap"
52,110,"iap"
595,14730,"iap"
191,10038,"iap"
171,5030,"iap"
215,10300,"iap"
109,8530,"iap"
29,43,"iap"
30,15340,"iap"
56,10510,"iap"
56,9340,"iap"
355,10892,"iap"
76,4250,"iap"
553,33771,"iap"
72,15110,"iap"
168,27711,"iap"
14,130,"iap"
23,11112,"iap"
12,160,"iap"
429,10001,"iap"
758,10470,"iap"
427,5765,"iap"
71,2040,"iap"
119,3610,"iap"
557,3723,"iap"
138,11510,"iap"
105,7210,"iap"
20,150,"iap"
7,30,"iap"
20,10,"iap"
36,0,"iap"
325,13130,"iap"
29,8710,"iap"
106,9275,"iap"
152,2750,"iap"
105,1930,"iap"
9,9626,"iap"
53,20,"iap"
32,14960,"iap"
22,3300,"iap"
287,18500,"iap"
444,3420,"iap"
34,3607,"iap"
65,3040,"iap"
55,2010,"iap"
38,5490,"iap"
308,1700,"iap"
35,41,"iap"
80,2550,"iap"
4,170,"iap"
10,50,"iap"
21,67,"iap"
41,8860,"iap"
19,21200,"iap"
65,18760,"iap"
76,910,"iap"
1164,15258,"iap"
181,12263,"iap"
4,150,"iap"
47,7500,"iap"
31,20,"iap"
26,1800,"iap"
177,3340,"iap"
143,1670,"iap"
28,3260,"iap"
54,1610,"iap"
65,1820,"iap"
166,9870,"iap"
31,1520,"iap"
44,20,"iap"
22,5900,"iap"
23,2750,"iap"
76,10214,"iap"
11,30,"iap"
19,1300,"iap"
68,9620,"iap"
93,18129,"iap"
24,9000,"iap"
58,9610,"iap"
27,10200,"iap"
30,1610,"iap"
53,10310,"iap"
90,2500,"iap"
25,2920,"iap"
5,9700,"iap"
84,14305,"iap"
23,11459,"iap"
28,5250,"iap"
7,2660,"iap"
20,10650,"iap"
6,11130,"iap"
19,8330,"iap"
312,18963,"iap"
16,2100,"iap"
13,14220,"iap"
7,0,"iap"
8,3900,"iap"
10,1300,"iap"
22,20610,"iap"
10,13690,"iap"
5,7310,"iap"
8,10160,"iap"
7,12420,"iap"
38,2050,"iap"
57,2602,"iap"
17,7540,"iap"
4,10200,"iap"
9,10150,"iap"
3,6280,"iap"
1,7300,"iap"
87,10310,"iap"
6,10020,"iap"
2,140,"iap"
143,65,"iap"
32,135,"iap"
178,150,"iap"
13,10,"iap"
2,20,"iap"
250,0,"iap"
9,20,"iap"
2,500,"iap"
5,40,"iap"
76,270,"iap"
22,0,"iap"
7,10,"iap"
32,5,"iap"
10,70,"iap"
4,50,"iap"
18,20,"iap"
14,50,"iap"
17,10,"iap"
6,30,"iap"
15,120,"iap"
5,10,"iap"
4,120,"iap"
6,460,"iap"
117,170,"iap"
15,70,"iap"
1,0,"iap"
85,60,"iap"
30,50,"iap"
4,120,"iap"
17,40,"iap"
3,60,"iap"
13,20,"iap"
6,150,"iap"
3,150,"iap"
17,55,"iap"
80,175,"iap"
2,30,"iap"
58,15,"iap"
269,100,"iap"
4,0,"iap"
2,70,"iap"
3,0,"iap"
10,50,"iap"
21,300,"iap"
4,10,"iap"
18,90,"iap"
11,10,"iap"
0,500,"iap"
44,180,"iap"
0,0,"iap"
12,160,"iap"
79,10,"iap"
111,84,"iap"
15,90,"iap"
10,10,"iap"
18,60,"iap"
2,50,"iap"
17,60,"iap"
565,80,"iap"
154,280,"iap"
63,50,"iap"
4,220,"iap"
15,20,"iap"
2,170,"iap"
16,105,"iap"
5,50,"iap"
16,4,"iap"
1,115,"iap"
21,40,"iap"
0,500,"iap"
4,60,"iap"
179,20,"iap"
39,80,"iap"
132,20,"iap"
6,40,"iap"
24,80,"iap"
139,50,"iap"
